team_seed,opp_seed,games,wins,losses,pct
1,1,44,22,22,0.5
1,2,68,38,30,0.559
1,3,37,23,14,0.622
1,4,69,49,20,0.71
1,5,54,43,11,0.796
1,6,12,9,3,0.75
1,7,7,6,1,0.857
1,8,78,61,17,0.782
1,9,80,74,6,0.925
1,10,7,6,1,0.857
1,11,10,6,4,0.6
1,12,20,20,0,1.0
1,13,4,4,0,1.0
1,14,0,0,0,NaN
1,15,0,0,0,NaN
1,16,156,154,2,0.987
2,1,68,30,38,0.441
2,2,6,3,3,0.5
2,3,61,37,24,0.607
2,4,8,4,4,0.5
2,5,7,1,6,0.143
2,6,32,24,8,0.75
2,7,90,63,27,0.7
2,8,8,2,6,0.25
2,9,1,0,1,0.0
2,10,55,36,19,0.655
2,11,20,16,4,0.8
2,12,2,2,0,1.0
2,13,0,0,0,NaN
2,14,0,0,0,NaN
2,15,156,145,11,0.929
2,16,0,0,0,NaN
3,1,37,14,23,0.378
3,2,61,24,37,0.393
3,3,2,1,1,0.5
3,4,8,4,4,0.5
3,5,3,2,1,0.667
3,6,79,48,31,0.608
3,7,16,10,6,0.625
3,8,2,2,0,1.0
3,9,3,2,1,0.667
3,10,13,9,4,0.692
3,11,56,36,20,0.643
3,12,0,0,0,NaN
3,13,0,0,0,NaN
3,14,156,133,23,0.853
3,15,3,2,1,0.667
3,16,0,0,0,NaN
4,1,69,20,49,0.29
4,2,8,4,4,0.5
4,3,8,4,4,0.5
4,4,2,1,1,0.5
4,5,83,47,36,0.566
4,6,5,3,2,0.6
4,7,5,2,3,0.4
4,8,11,5,6,0.455
4,9,4,2,2,0.5
4,10,2,2,0,1.0
4,11,1,0,1,0.0
4,12,43,30,13,0.698
4,13,156,123,33,0.788
4,14,0,0,0,NaN
4,15,0,0,0,NaN
4,16,0,0,0,NaN
5,1,54,11,43,0.204
5,2,7,6,1,0.857
5,3,3,1,2,0.333
5,4,83,36,47,0.434
5,5,2,1,1,0.5
5,6,2,2,0,1.0
5,7,0,0,0,NaN
5,8,3,1,2,0.333
5,9,4,2,2,0.5
5,10,1,1,0,1.0
5,11,0,0,0,NaN
5,12,156,101,55,0.647
5,13,21,18,3,0.857
5,14,0,0,0,NaN
5,15,0,0,0,NaN
5,16,0,0,0,NaN
6,1,12,3,9,0.25
6,2,32,8,24,0.25
6,3,79,31,48,0.392
6,4,5,2,3,0.4
6,5,2,0,2,0.0
6,6,0,0,0,NaN
6,7,8,5,3,0.625
6,8,1,0,1,0.0
6,9,0,0,0,NaN
6,10,6,4,2,0.667
6,11,156,95,61,0.609
6,12,0,0,0,NaN
6,13,0,0,0,NaN
6,14,16,14,2,0.875
6,15,1,1,0,1.0
6,16,0,0,0,NaN
7,1,7,1,6,0.143
7,2,90,27,63,0.3
7,3,16,6,10,0.375
7,4,5,3,2,0.6
7,5,0,0,0,NaN
7,6,8,3,5,0.375
7,7,0,0,0,NaN
7,8,2,1,1,0.5
7,9,0,0,0,NaN
7,10,156,96,60,0.615
7,11,4,0,4,0.0
7,12,0,0,0,NaN
7,13,0,0,0,NaN
7,14,1,1,0,1.0
7,15,6,2,4,0.333
7,16,0,0,0,NaN
8,1,78,17,61,0.218
8,2,8,6,2,0.75
8,3,2,0,2,0.0
8,4,11,6,5,0.545
8,5,3,2,1,0.667
8,6,1,1,0,1.0
8,7,2,1,1,0.5
8,8,0,0,0,NaN
8,9,156,75,81,0.481
8,10,0,0,0,NaN
8,11,1,1,0,1.0
8,12,2,0,2,0.0
8,13,1,1,0,1.0
8,14,0,0,0,NaN
8,15,1,1,0,1.0
8,16,0,0,0,NaN
9,1,80,6,74,0.075
9,2,1,1,0,1.0
9,3,3,1,2,0.333
9,4,4,2,2,0.5
9,5,4,2,2,0.5
9,6,0,0,0,NaN
9,7,0,0,0,NaN
9,8,156,81,75,0.519
9,9,0,0,0,NaN
9,10,0,0,0,NaN
9,11,1,0,1,0.0
9,12,0,0,0,NaN
9,13,1,1,0,1.0
9,14,0,0,0,NaN
9,15,0,0,0,NaN
9,16,2,2,0,1.0
10,1,7,1,6,0.143
10,2,55,19,36,0.345
10,3,13,4,9,0.308
10,4,2,0,2,0.0
10,5,1,0,1,0.0
10,6,6,2,4,0.333
10,7,156,60,96,0.385
10,8,0,0,0,NaN
10,9,0,0,0,NaN
10,10,0,0,0,NaN
10,11,4,2,2,0.5
10,12,0,0,0,NaN
10,13,0,0,0,NaN
10,14,1,1,0,1.0
10,15,5,5,0,1.0
10,16,0,0,0,NaN
11,1,10,4,6,0.4
11,2,20,4,16,0.2
11,3,56,20,36,0.357
11,4,1,1,0,1.0
11,5,0,0,0,NaN
11,6,156,61,95,0.391
11,7,4,4,0,1.0
11,8,1,0,1,0.0
11,9,1,1,0,1.0
11,10,4,2,2,0.5
11,11,0,0,0,NaN
11,12,0,0,0,NaN
11,13,0,0,0,NaN
11,14,7,7,0,1.0
11,15,0,0,0,NaN
11,16,0,0,0,NaN
12,1,20,0,20,0.0
12,2,2,0,2,0.0
12,3,0,0,0,NaN
12,4,43,13,30,0.302
12,5,156,55,101,0.353
12,6,0,0,0,NaN
12,7,0,0,0,NaN
12,8,2,2,0,1.0
12,9,0,0,0,NaN
12,10,0,0,0,NaN
12,11,0,0,0,NaN
12,12,0,0,0,NaN
12,13,12,9,3,0.75
12,14,0,0,0,NaN
12,15,0,0,0,NaN
12,16,0,0,0,NaN
13,1,4,0,4,0.0
13,2,0,0,0,NaN
13,3,0,0,0,NaN
13,4,156,33,123,0.212
13,5,21,3,18,0.143
13,6,0,0,0,NaN
13,7,0,0,0,NaN
13,8,1,0,1,0.0
13,9,1,0,1,0.0
13,10,0,0,0,NaN
13,11,0,0,0,NaN
13,12,12,3,9,0.25
13,13,0,0,0,NaN
13,14,0,0,0,NaN
13,15,0,0,0,NaN
13,16,0,0,0,NaN
14,1,0,0,0,NaN
14,2,0,0,0,NaN
14,3,156,23,133,0.147
14,4,0,0,0,NaN
14,5,0,0,0,NaN
14,6,16,2,14,0.125
14,7,1,0,1,0.0
14,8,0,0,0,NaN
14,9,0,0,0,NaN
14,10,1,0,1,0.0
14,11,7,0,7,0.0
14,12,0,0,0,NaN
14,13,0,0,0,NaN
14,14,0,0,0,NaN
14,15,0,0,0,NaN
14,16,0,0,0,NaN
15,1,0,0,0,NaN
15,2,156,11,145,0.071
15,3,3,1,2,0.333
15,4,0,0,0,NaN
15,5,0,0,0,NaN
15,6,1,0,1,0.0
15,7,6,4,2,0.667
15,8,1,0,1,0.0
15,9,0,0,0,NaN
15,10,5,0,5,0.0
15,11,0,0,0,NaN
15,12,0,0,0,NaN
15,13,0,0,0,NaN
15,14,0,0,0,NaN
15,15,0,0,0,NaN
